Algorithm,ArraySize,Iteration,TimeMicroseconds,TimeMilliseconds,IsSorted
Heap Sort,100000,90,35451.00,35.45,true
Heap Sort,100000,91,35445.00,35.45,true
Heap Sort,100000,92,36004.00,36.00,true
Heap Sort,100000,93,39529.00,39.53,true
Heap Sort,100000,94,36138.00,36.14,true
Heap Sort,100000,95,38094.00,38.09,true
Heap Sort,100000,96,36618.00,36.62,true
Heap Sort,100000,97,37404.00,37.40,true
Heap Sort,100000,98,37031.00,37.03,true
Heap Sort,100000,99,42403.00,42.40,true
Heap Sort,100000,100,35432.00,35.43,true
STL Sort (std::sort),100000,1,27836.00,27.84,true
STL Sort (std::sort),100000,2,31949.00,31.95,true
STL Sort (std::sort),100000,3,27551.00,27.55,true
STL Sort (std::sort),100000,4,29579.00,29.58,true
STL Sort (std::sort),100000,5,27074.00,27.07,true
STL Sort (std::sort),100000,6,28623.00,28.62,true
STL Sort (std::sort),100000,7,30153.00,30.15,true
STL Sort (std::sort),100000,8,28133.00,28.13,true
STL Sort (std::sort),100000,9,25336.00,25.34,true
STL Sort (std::sort),100000,10,30291.00,30.29,true
STL Sort (std::sort),100000,11,27834.00,27.83,true
STL Sort (std::sort),100000,12,28085.00,28.09,true
STL Sort (std::sort),100000,13,28055.00,28.05,true
STL Sort (std::sort),100000,14,27261.00,27.26,true
STL Sort (std::sort),100000,15,27956.00,27.96,true
STL Sort (std::sort),100000,16,27293.00,27.29,true
STL Sort (std::sort),100000,17,29221.00,29.22,true
STL Sort (std::sort),100000,18,28388.00,28.39,true
STL Sort (std::sort),100000,19,31015.00,31.02,true
STL Sort (std::sort),100000,20,27055.00,27.05,true
STL Sort (std::sort),100000,21,27957.00,27.96,true
STL Sort (std::sort),100000,22,27267.00,27.27,true
STL Sort (std::sort),100000,23,33416.00,33.42,true
STL Sort (std::sort),100000,24,27298.00,27.30,true
STL Sort (std::sort),100000,25,29243.00,29.24,true
STL Sort (std::sort),100000,26,29934.00,29.93,true
STL Sort (std::sort),100000,27,27133.00,27.13,true
STL Sort (std::sort),100000,28,27184.00,27.18,true
STL Sort (std::sort),100000,29,28115.00,28.11,true
STL Sort (std::sort),100000,30,27296.00,27.30,true
STL Sort (std::sort),100000,31,27775.00,27.77,true
STL Sort (std::sort),100000,32,28641.00,28.64,true
STL Sort (std::sort),100000,33,28654.00,28.65,true
STL Sort (std::sort),100000,34,28412.00,28.41,true
STL Sort (std::sort),100000,35,32400.00,32.40,true
STL Sort (std::sort),100000,36,27632.00,27.63,true
STL Sort (std::sort),100000,37,27655.00,27.66,true
STL Sort (std::sort),100000,38,27880.00,27.88,true
STL Sort (std::sort),100000,39,29206.00,29.21,true
STL Sort (std::sort),100000,40,28463.00,28.46,true
STL Sort (std::sort),100000,41,26807.00,26.81,true
STL Sort (std::sort),100000,42,26386.00,26.39,true
STL Sort (std::sort),100000,43,26934.00,26.93,true
STL Sort (std::sort),100000,44,27545.00,27.55,true
STL Sort (std::sort),100000,45,28427.00,28.43,true
STL Sort (std::sort),100000,46,27103.00,27.10,true
STL Sort (std::sort),100000,47,31862.00,31.86,true
STL Sort (std::sort),100000,48,27871.00,27.87,true
STL Sort (std::sort),100000,49,31633.00,31.63,true
STL Sort (std::sort),100000,50,27626.00,27.63,true
STL Sort (std::sort),100000,51,31837.00,31.84,true
STL Sort (std::sort),100000,52,28972.00,28.97,true
STL Sort (std::sort),100000,53,29508.00,29.51,true
STL Sort (std::sort),100000,54,28485.00,28.48,true
STL Sort (std::sort),100000,55,27451.00,27.45,true
STL Sort (std::sort),100000,56,28027.00,28.03,true
STL Sort (std::sort),100000,57,28266.00,28.27,true
STL Sort (std::sort),100000,58,28032.00,28.03,true
STL Sort (std::sort),100000,59,30097.00,30.10,true
STL Sort (std::sort),100000,60,27023.00,27.02,true
STL Sort (std::sort),100000,61,28721.00,28.72,true
STL Sort (std::sort),100000,62,28234.00,28.23,true
STL Sort (std::sort),100000,63,27517.00,27.52,true
STL Sort (std::sort),100000,64,27191.00,27.19,true
STL Sort (std::sort),100000,65,27719.00,27.72,true
STL Sort (std::sort),100000,66,28187.00,28.19,true
STL Sort (std::sort),100000,67,27407.00,27.41,true
STL Sort (std::sort),100000,68,27763.00,27.76,true
STL Sort (std::sort),100000,69,30140.00,30.14,true
STL Sort (std::sort),100000,70,32029.00,32.03,true
STL Sort (std::sort),100000,71,29027.00,29.03,true
STL Sort (std::sort),100000,72,26404.00,26.40,true
STL Sort (std::sort),100000,73,28796.00,28.80,true
STL Sort (std::sort),100000,74,28778.00,28.78,true
STL Sort (std::sort),100000,75,29198.00,29.20,true
STL Sort (std::sort),100000,76,27651.00,27.65,true
STL Sort (std::sort),100000,77,27490.00,27.49,true
STL Sort (std::sort),100000,78,28013.00,28.01,true
STL Sort (std::sort),100000,79,29319.00,29.32,true
STL Sort (std::sort),100000,80,30930.00,30.93,true
STL Sort (std::sort),100000,81,26835.00,26.84,true
STL Sort (std::sort),100000,82,27192.00,27.19,true
STL Sort (std::sort),100000,83,30898.00,30.90,true
STL Sort (std::sort),100000,84,27058.00,27.06,true
STL Sort (std::sort),100000,85,27895.00,27.89,true
STL Sort (std::sort),100000,86,27159.00,27.16,true
STL Sort (std::sort),100000,87,27758.00,27.76,true
STL Sort (std::sort),100000,88,27384.00,27.38,true
STL Sort (std::sort),100000,89,29784.00,29.78,true
STL Sort (std::sort),100000,90,27877.00,27.88,true
STL Sort (std::sort),100000,91,26573.00,26.57,true
STL Sort (std::sort),100000,92,26752.00,26.75,true
STL Sort (std::sort),100000,93,28223.00,28.22,true
STL Sort (std::sort),100000,94,28417.00,28.42,true
STL Sort (std::sort),100000,95,31559.00,31.56,true
STL Sort (std::sort),100000,96,26610.00,26.61,true
STL Sort (std::sort),100000,97,28358.00,28.36,true
STL Sort (std::sort),100000,98,27533.00,27.53,true
STL Sort (std::sort),100000,99,27580.00,27.58,true
STL Sort (std::sort),100000,100,28518.00,28.52,true
